Nr;Name;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. nach � 24 II EuWO;Wahlb. insges.;W�hler;dav. mit Wahlschein;Ung�lt. Stimmen;G�ltige Stimmen;CDU;SPD;GR�NE;AfD;FDP;DIE LINKE;FREIE W�HLER;PIRATEN;Tierschutzpartei;�DP;NPD;Die PARTEI;FAMILIE;Volksabstimmung;BP;MLPD;DKP;SGP;TIERSCHUTZ hier!;Tierschutzallianz;B�ndnis C;BIG;BGE;DIE DIREKTE!;DiEM25;III. Weg;Die Grauen;DIE RECHTE;DIE VIOLETTEN;LIEBE;DIE FRAUEN;Graue Panther;LKR;MENSCHLICHE WELT;NL;�koLinX;Die Humanisten;PARTEI F�R DIE TIERE;Gesundheitsforschung;VOLT
404;Neckarhalle, Foyer B          ;674;103;1;778;285;3;2;283;49;54;49;55;18;9;25;0;4;1;0;8;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;2;0;0;0;0;0;1;0;0;3
405;Albrecht-D�rer-Schule, Aula   ;718;117;0;835;391;0;8;383;125;80;67;47;23;11;7;1;3;2;0;7;0;0;0;1;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
406;Ev. Gem.zentr. Sachsen�ckerstr;688;66;0;754;315;1;8;307;80;51;38;62;17;17;13;2;2;0;1;6;1;0;0;1;0;2;0;0;2;2;3;1;0;0;0;0;0;0;1;2;0;0;0;0;1;0;1;1
407;Ev. Gem.zentr. Sachsen�ckerstr;768;111;0;879;394;5;8;386;117;69;57;67;26;11;16;3;6;0;0;4;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;2;0
501;Therapeutikum, Kreuz�ckerstr. ;1313;188;0;1501;537;5;3;534;108;81;135;80;36;20;9;4;7;5;2;20;1;1;0;0;0;0;2;1;0;7;0;1;2;0;2;1;0;0;1;1;0;0;0;2;1;0;0;4
502;Alte Kelter Sontheim Abt. B   ;985;201;0;1186;450;5;1;449;111;65;99;76;29;20;11;3;3;7;1;8;0;2;0;0;0;0;0;0;0;2;0;0;1;0;3;0;0;0;1;0;0;1;0;0;1;2;2;1
503;Alte Kelter Sontheim Abt. A   ;1090;146;0;1236;521;1;6;515;134;88;93;64;50;24;11;3;6;12;0;12;2;0;0;2;1;0;0;3;0;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;4
504;Staufenbergschule, Zimmer 2   ;870;162;0;1032;447;0;2;445;122;85;82;55;27;27;8;3;2;8;0;11;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;2;2;3
505;Staufenbergschule, Zimmer 3   ;957;78;0;1035;328;0;12;316;68;51;41;83;19;9;13;0;2;3;0;9;2;2;1;1;0;0;1;0;0;2;0;0;3;0;0;0;0;0;1;0;0;0;0;0;1;1;2;1
506;Staufenbergschule, Zimmer 4   ;810;114;0;924;452;2;1;451;137;74;90;58;35;14;10;1;2;4;1;7;1;0;0;0;0;0;0;0;4;3;1;0;3;0;3;0;0;0;1;0;0;0;0;0;0;1;0;1
507;M�rike-Realschule, Zimmer E 47;964;135;0;1099;477;1;6;471;123;84;75;91;33;12;10;3;4;8;2;9;6;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;1
